day,p5,p50,p95,real_last_window
1,0.9839065846838212,1.000555371072875,1.017887407749819,1.0032779000831846
2,0.9767900383990041,1.0012587125781987,1.026162808214457,1.0062689419271922
3,0.9713002701289635,1.0018698809431523,1.0330603277754111,1.0045119540891767
4,0.9670410980124919,1.0015926631307315,1.0386162452658867,1.003694970484432
5,0.9635519060928613,1.0022750773620357,1.0435890197326023,1.001170988777229
6,0.9599899364761663,1.002810617841401,1.0481620153849105,1.0191114146172473
7,0.9572347101941663,1.003393781617286,1.0533635556641114,1.017718358317738
8,0.9545237978339697,1.0038284677489457,1.0556868932977426,1.0205042647292664
9,0.951019165408848,1.0041274426899722,1.0594994319697513,1.0238359638721835
10,0.948961947734196,1.0048212460869435,1.0634348877434197,1.0270924624044606
11,0.9470169310248377,1.0052753599850544,1.0676848956405574,1.0277844386724748
12,0.9441675983990327,1.0056371008045635,1.071824702693713,1.0247175161912514
13,0.9425770370835213,1.006128564188026,1.0750465571310641,1.0301695173636225
14,0.9413969220478182,1.006727579628047,1.0768977403191264,1.0364270461136074
15,0.940337868232658,1.0067736169288628,1.080390182882418,1.0326306613240626
16,0.9379134555880438,1.007502039861877,1.084161217389278,1.0319326750257958
17,0.9355262068846455,1.007814684021335,1.086733863084117,1.0346430218728941
18,0.9339753945796428,1.0087064636516274,1.0892986005723382,1.033082898777747
19,0.9322984533664683,1.0093645559389992,1.092967340093993,1.0386908131282615
20,0.9307038347617114,1.0101338463968572,1.0960538421233346,1.0398744531314994
21,0.9276539789024341,1.0105136000968784,1.0979219719230455,1.0459306986691368
22,0.9273285689402246,1.0109707813160185,1.1003870466937358,1.0492465101767114
23,0.9264692102251793,1.011144482571038,1.1037186610556766,1.0490182138281137
24,0.9257317204347328,1.011036161894198,1.107296802082378,1.0478662830229217
25,0.9242728457447547,1.0114322571542018,1.1098444147523505,1.0517835486347542
26,0.923221387758029,1.0124219017425538,1.1131181480971573,1.0558961291181064
27,0.9224711829233757,1.0132832404223344,1.115930670037983,1.04842583839556
28,0.9210259199847509,1.0139273498270311,1.119591497803629,1.0479744992415192
29,0.9186406745358214,1.0138642027794629,1.1210890094301122,1.047751560530672
30,0.9172589882345913,1.0140007528875303,1.1225309031892705,1.0513222613380342
31,0.916182978979737,1.0145469577643487,1.1265027788576636,1.0513124322732321
32,0.9157474860337708,1.0151498604906681,1.1292609700696816,1.0512930920399226
33,0.9137014501060343,1.0154366805767676,1.1313920703471025,1.0526602135833585
34,0.9137360028906023,1.015645277150609,1.1345083738800361,1.052362662369651
35,0.9128709749890654,1.0161401866883288,1.1361776636150727,1.0533476084025601
36,0.9119865218473648,1.0168491084472824,1.1385393336165077,1.0566758485927035
37,0.9103808346936537,1.017353988063499,1.139726170644676,1.0552865256086925
38,0.9093695359663563,1.0177363212583639,1.143700873197382,1.0556027496554894
39,0.9092980275608463,1.018458122684278,1.1449164314972475,1.0539440137378069
40,0.9076460479442099,1.0186739551130795,1.1470527210411616,1.0333492588216795
41,0.9053505560637926,1.0190530798260125,1.1485923713076167,1.0451955211288375
42,0.9045023213390248,1.0197351102446106,1.151395535934482,1.0468340996522347
43,0.9038238025278214,1.020224218883408,1.1545802737148436,1.0536107561831307
44,0.9042970693340432,1.0205065873745114,1.1549730845168713,1.0508735984256923
45,0.9030659822841796,1.0208066175481383,1.1568513138475602,1.053845307735057
46,0.9023898950436494,1.02108185728221,1.1588694024056065,1.0657375891637662
47,0.901686484068705,1.0213428808568872,1.1593782292140207,1.0575220648926011
48,0.9005460117088175,1.0218211509657782,1.1618872140647685,1.0552464713400997
49,0.9002307032254943,1.022085472324323,1.1650774096552081,1.0583828495126975
50,0.899351281664177,1.0227086062724882,1.1672722548948704,1.066148959663262
51,0.8988498476145347,1.0228869925832862,1.169902429229256,1.073242787642415
52,0.8981558029956165,1.022807735357079,1.1710013306715525,1.074125684803337
53,0.8987504586215546,1.0238599955661132,1.1737827840786244,1.0656216485940948
54,0.8984664911281417,1.0238685250481407,1.176784891241709,1.06260802168331
55,0.8969554493382209,1.0238859533029319,1.1786932977942866,1.069947898512378
56,0.8963748848153749,1.024878602213428,1.1802186888736748,1.067564682798399
57,0.8957422913988281,1.0261448984669665,1.180860778167843,1.0616238070833621
58,0.8960528367607803,1.02686298738022,1.1829481948356915,1.066273755885906
59,0.896944283538688,1.0266567596191358,1.1858488118186716,1.062128305639245
60,0.8961314341593111,1.0272143846499864,1.1874288347299629,1.0627464580024264
61,0.895317106536608,1.0268045073467333,1.1904726978681184,1.0796047696427216
62,0.8943210977395591,1.0280398258778953,1.192466195383332,1.0806068318907585
63,0.8943846558527917,1.0289037645816446,1.1950828437325114,1.0791208029435346
64,0.8944136155965381,1.029220981282839,1.1970566484793392,1.0665821705092695
65,0.8933154974716208,1.0294476944483089,1.1980148607734877,1.0651474281326048
66,0.8935724639760417,1.0305566234829548,1.201199426111313,1.0562830154582492
67,0.892825970480156,1.031639761238248,1.2042861000180438,1.0522746025671394
68,0.8923709084866287,1.032076414791617,1.205922200734854,1.0537416440491438
69,0.8919269844871511,1.0324304007723955,1.2072732097287542,1.044005885660354
70,0.8916861370713871,1.033103686631096,1.209278514628051,1.051422155200347
71,0.8904953157978519,1.0328434644017066,1.2105480076848874,1.0594152973545665
72,0.8895903699467055,1.0333658799672922,1.2129836550088755,1.0645175669579443
73,0.8887219655258536,1.0338545148998848,1.216201577609737,1.0692593954122236
74,0.8883157541542483,1.0341516911874593,1.2172907433533746,1.0766735467153203
75,0.8877914013166884,1.0355852980606286,1.220071335461186,1.0745077442292872
76,0.8866255519150235,1.035273486997874,1.2196247234191306,1.0746649198288305
77,0.8851486429326793,1.0362312401012872,1.2211787034732178,1.0766710656067793
78,0.8842300480035703,1.0360651943866541,1.2239245397391685,1.078358753009073
79,0.8840859171202599,1.0367083490278781,1.2273465399899512,1.0771920129897936
80,0.883675390731174,1.0375104357709115,1.2289385530338752,1.0722422306079897
81,0.883719517403919,1.0383119724932537,1.2318227591873878,1.0707417450591392
82,0.8842605356959989,1.038000886573705,1.2340852642912192,1.0804058058844357
83,0.8842813181921426,1.0389117220611712,1.2364144158225723,1.0829566025283492
84,0.8843549494785022,1.0391120004272638,1.239002445882638,1.0790031727656464
85,0.8832677911790429,1.0398932054169867,1.2414567733460615,1.0778348678025438
86,0.8834818731848472,1.03994595993604,1.24085479627892,1.0728706792985032
87,0.8824643368089535,1.0406414572366791,1.2447912027537482,1.0715094522117035
88,0.8825399786423883,1.0409960280595214,1.2475672825697344,1.0757742905997267
89,0.881008659473644,1.0416259024996921,1.2480133617952016,1.080344288757239
90,0.8796435215751137,1.0425176343942746,1.2508313490619418,1.087002136108867
91,0.8791560134072355,1.0426975696873961,1.2513919268908447,1.0912547283386154
92,0.8785405859569162,1.0426232821586017,1.252888632358774,1.0950229931067343
93,0.8787287816752773,1.042986168863372,1.2545946464781794,1.0956430873533465
94,0.877908905458394,1.0432029485985355,1.257089494061894,1.0919522090239124
95,0.8782269469227681,1.0440077383575852,1.2604925238335825,1.0905722231716966
96,0.8774393227244977,1.0444746626481454,1.2623805962661974,1.0864618228554235
97,0.8776716625970847,1.0447459127444487,1.262536698054525,1.0916064078075534
98,0.8779764866673525,1.0447526335532082,1.2639765593834453,1.1010875729024572
99,0.8769416084762092,1.0459045902188597,1.2637594837794133,1.0997393594543063
100,0.8761920141854551,1.0468807689492925,1.2683659013396074,1.0959610504756518
101,0.8750629680230897,1.04726458227575,1.2706565124701616,1.1037660657741513
102,0.8749615338394173,1.0477844758754,1.2708981461652247,1.1062214130245314
103,0.8747633726572945,1.0479855294779008,1.2724859008728973,1.1108270807053655
104,0.8736270493907344,1.048614926535817,1.27364745205978,1.1091267171121635
105,0.8733247585807452,1.04923118940332,1.275802471606694,1.1072527317774812
106,0.8739360925769591,1.0499077605618181,1.2795379842796675,1.1045765435363153
107,0.8737249974125448,1.0503259871272106,1.281837717834221,1.1038689539825042
108,0.8742856585791471,1.0510722353501982,1.2818125540681378,1.091976079417008
109,0.8736640916168638,1.0520586265086247,1.2852532713327502,1.0991546139856367
110,0.8729740454977988,1.0524690870438813,1.2866757833057878,1.1138045549110924
111,0.8736468310844135,1.0525491628795631,1.2879230955718848,1.1157419034578355
112,0.8733967716054581,1.0530443216655836,1.288018407773284,1.121835870283244
113,0.8713090893388672,1.0536047339142178,1.2873639887547816,1.1298512014989193
114,0.8713128766917152,1.0539625389949572,1.291831336841311,1.1343744945642034
115,0.872349378879176,1.054647083369491,1.2923291665402943,1.131011225624797
116,0.8713046101997058,1.0551393917131953,1.2938634171006973,1.1242456790976134
117,0.8707505360195013,1.056250861486141,1.2960191964463645,1.1237896448296154
118,0.8701262724583451,1.0553235081902408,1.2969199018653896,1.131828814213641
119,0.8693413946873783,1.056404973126419,1.2982171788233188,1.157693961708892
120,0.8686943308772387,1.0570239202976182,1.300517361737856,1.1405673065372046
121,0.8693716835487659,1.058015783437686,1.3010176162849345,1.1556323547456564
122,0.868053779112079,1.0586562221065647,1.3018903439218479,1.1597882413324108
123,0.867627094856223,1.0591498049744295,1.3033712296604925,1.1556546542596182
124,0.8670132575296032,1.0587571873207717,1.3042472683244508,1.1508993210636376
125,0.8652304813479224,1.0591482076245935,1.3066589197222964,1.1309201837967486
126,0.8645703179077452,1.0596819177233145,1.3116455996762801,1.126652790046137
